"actor","degree_mean","degree_sd","between_mean","between_sd","n_layers","type"
1,0.8,0.447213595499958,0,0,4,"4"
2,0.6,0.547722557505166,0,0,3,"4"
3,0.4,0.547722557505166,0,0,2,"1"
4,0,0,0,0,0,"1"
5,8,4.30116263352131,72.7642857142857,87.1275578555286,5,"2"
6,0.8,0.447213595499958,0,0,4,"4"
7,0.8,0.447213595499958,0,0,4,"4"
8,0.8,1.09544511501033,0,0,2,"1"
9,6.4,3.71483512420134,149.259523809524,167.14664949571,5,"3"
10,1.8,1.30384048104053,0,0,4,"4"
11,1.2,1.30384048104053,0,0,3,"4"
12,3,2.34520787991171,5.6,9.67858460726567,4,"4"
13,6,3.3166247903554,2.36666666666667,3.15876206412857,5,"2"
14,5.6,3.50713558335004,74.6,96.0458223974369,4,"2"
15,0.4,0.547722557505166,0,0,2,"1"
16,4,2.12132034355964,19.2666666666667,26.3819698531655,5,"2"
17,5.2,1.30384048104053,34.4666666666667,21.3155524858676,5,"2"
18,1.4,0.894427190999916,0,0,4,"4"
19,1,0,0,0,5,"4"
20,6,1.73205080756888,45.3,23.8179291711097,5,"2"
21,7.8,1.09544511501033,50.3857142857143,24.0236393287661,5,"2"
22,1.8,0.447213595499958,0,0,5,"4"
23,0.8,0.447213595499958,0,0,4,"4"
24,0.8,0.447213595499958,0,0,4,"4"
25,10.2,1.78885438199983,63.8452380952381,32.6542844955814,5,"2"
26,0.8,0.447213595499958,0,0,4,"4"
27,2,1.22474487139159,0,0,4,"4"
28,4,2.12132034355964,29,21.0356839679626,5,"2"
29,1.6,1.34164078649987,0.4,0.651920240520265,4,"4"
30,0.8,0.447213595499958,0,0,4,"4"
31,9.2,2.94957624075052,131.838095238095,84.3861272162272,5,"3"
32,7.6,1.51657508881031,88.6809523809524,59.3842163153838,5,"2"
33,3.6,0.547722557505166,1.03333333333333,1.94507926145269,5,"4"
34,10.8,3.70135110466435,78.6047619047619,57.3844405924537,5,"2"
35,6,1.73205080756888,43.2714285714286,23.6604475875954,5,"2"
36,8,3.93700393700591,148.692857142857,95.7720117325125,5,"3"
37,4,1.87082869338697,5.13333333333333,8.52968672083304,5,"4"
38,15.4,4.61519230368573,305.92619047619,193.759798669639,5,"3"
39,0.8,0.447213595499958,0,0,4,"4"
40,5.8,3.3466401061363,68.597619047619,48.5156866770068,5,"2"
41,5.2,4.32434966208793,47.7642857142857,64.4794635432155,4,"2"
42,5.8,1.09544511501033,59.5666666666667,57.3307412204734,5,"2"
43,0,0,0,0,0,"1"
44,0.8,0.447213595499958,0,0,4,"4"
45,0,0,0,0,0,"1"
46,1.6,0.547722557505166,0,0,5,"4"
47,0,0,0,0,0,"1"
48,0.8,0.447213595499958,0,0,4,"4"
49,7,2.91547594742265,192.2,152.236904198686,5,"3"
50,0,0,0,0,0,"1"
51,0,0,0,0,0,"1"
52,0.8,0.447213595499958,0,0,4,"4"
53,0.8,0.447213595499958,0,0,4,"4"
54,1,0,0,0,5,"4"
55,0.4,0.547722557505166,0,0,2,"1"
56,6.2,1.78885438199983,37.8071428571429,21.2255451521699,5,"2"
57,6.8,4.14728827066554,47.0238095238095,42.6662115994014,5,"2"
58,5.8,2.16794833886788,33.5047619047619,21.1211573542233,5,"2"
59,1.6,0.894427190999916,0,0,4,"4"
60,1.4,0.894427190999916,0,0,4,"4"
61,1.2,0.836660026534076,0,0,4,"4"
62,0.6,0.547722557505166,0,0,3,"4"
63,0,0,0,0,0,"1"
64,0,0,0,0,0,"1"
65,3.6,1.51657508881031,15,33.5410196624968,5,"4"
66,0,0,0,0,0,"1"
67,4.8,1.78885438199983,11.1,10.7784507235502,5,"2"
68,0.8,0.447213595499958,0,0,4,"4"
69,0,0,0,0,0,"1"
70,3,0,0,0,5,"4"
